title,type,category_s,data_source,department,Release_date,页面网址,文本,当前时间,category_f
"법무부, 2025년 지역특화형 비자 운영계획 시행",보도자료,공공질서 및 안전 > 법무 및 검찰,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",법무부,2025-02-20,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001141800?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            ""지역특화형 비자로 지역에 활력을""법무부, 2025년 지역특화형 비자 운영계획 시행□ 법무부는 지역소멸 위기를 극복하고 지역 균형발전을 도모하기 위해 2025년 지역특화형 비자 운영계획을 시행합니다. 2025년부터는 대상 지역 확대와 비자 제도 개편을 통해 더 많은 지자체에서 지역특화형 비자 제도가 시행될 수 있도록 할 예정입니다.<※상세내용 첨부파일 참조>

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:16,经济
"오늘은 나도 소방관! 소방청, 일일소방관 제도 신설 및 운영활성화 추진",보도자료,공공질서 및 안전 > 안전관리,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",소방청,2025-02-20,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001141790?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            ""나도 어린이 소방관·국민소방관이 될래요""   소방청, '일일소방관'？제도 신설 및 운영 활성화 추진     소방청,？국민과 소방의 유대 강화를 위한？'일일소방관'？제도 도입 -？명예소방관,？소방홍보대사,？일일소방관 역할 구분하여 제도 활성화  -？""생활 속 소방 안전 자연스럽게 익히고,？실？천할 수 있는 프로그램 마련할 것""  ""오늘은 나도 일일소방관!"" 소방청(청장 허석곤)은？국민 에게 직접적인 소방관 체험 기회를 제공하고,？보다 친숙하게 소방을 접할 수 있도록？하기 위해？'일일소방관'？제도를 새롭게 도입한다고 밝혔다. 그동안 소방청 및 각 시도 소방본부는 소방안전문화 확산의 기여도나 명확한 역할의 구분 없이 명예소방관,？소방홍보대사를 혼용하여 위촉해왔다. 이에 소방청은 지난？2023년？「명예소방관 및 소방홍보대사 운영에 관한 규정」*을 제정하여 두 역할을 명확히 구분했다. *？'일일소방관'？제도 도입 및 명예소방관 등 위촉 대상·절차·기간 등을 개선·명확히 하는？내용으로 현행？「명예소방관 및 소방홍보대사 운영에 관한 규정」을？「명예소방관 등 위촉？및 운영에 관한 규정」으로 전면 개정 중？(2025년 상반기 중 개정 완료,？시행 예정) '명예소방관'은？화재·구조·구급 등？사고 현장에서의 활약과 공로가 인정되어？안전사회 구현에 기여하거나,？소방행정 발전에 공로가 인정되는？사람 또는 동물(구조견),？캐릭터 등을 위촉할 수 있도록 규정했다. 한편,？소방정책과 현장 등을 효과적으로 홍보할 수 있는 사람 또는？소방의 위상을 높이거나 국민에게 알리는 데 기여할 것으로 인정되는 사람을？'소방홍보대사'로 위촉하여 온·오프라인 소방 안전 문화 확산 활동을 적극 지원하도록 했다. 이번에 신설된？'일일소방관'？제도는？어린이,？청소년 및 시민단체？등을 대상으로？소방 안전 체험 및 교육을 실시하는 경우？이들을？'일일소방관'으로 위촉할 수 있도록 하여,？국민과 소방의 유대를 강화하고자 했다. 이를 통해 스스로의 안전을 지키는 것은 물론 어려운 위기 상황에서 타인을？돕고,？생활 속 안전수칙 준수를 생활화 하는 등 우리 사회 전반의 안전의식 향상에 기여할 것으로 기대된다.  일일소방관(신설)―소방홍보대사―명예소방관？소방을 이해하고,？체험？소방에 대한 관심 증가？소방을 위한 홍보 활동？소방 가치와 위상 제고？소방과 지역사회 안전증진에 공로 인정받은 자 백승두 소방청 대변인은？""국민과 소방이 더욱 끈끈한 유대관계를 갖고,？가깝게 소통할 수 있도록？'일일소방관'？제도를 적극 운영할 계획""이라며？""앞으로도 국민들이 생활 속에서 소방 안전을 자연스럽게 익히고 실천할 수 있도록 다양한 프로그램을 확대해 나가겠다""고 전했다. ？ 담당 부서소방청책임자대변인백승두(044-205-7010)？대변인담당자소방위김은수(044-205-7018) 

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:23,经济
법무부 교정공무원 인사,보도자료,공공질서 및 안전 > 법무 및 검찰,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",법무부,2025-02-18,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001141290?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            법무부 교정공무원 인사□법무부는 교정공무원 인사를 다음과 같이 시행함.  ○ 승진 : 서기관 6명  ○ 전보 : 서기관 44명  ○ 인사 일정     (전보) 2025. 2. 24.(월)     (승진) 2025. 2. 25.(화)<※상세내용 첨부파일 참조>

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:27,经济
법무부 교정공무원 인사,보도자료,공공질서 및 안전 > 법무 및 검찰,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",법무부,2025-02-18,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001141289?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            법무부 교정공무원 인사□ 법무부는 교정공무원 인사를 다음과 같이 시행함.    ○ 승진 : 서기관 6명  ○ 전보 : 서기관 44명  ○ 인사 일정     (전보) 2025. 2. 24.(월)     (승진) 2025. 2. 25.(화)[※ 상세내용 첨부 파일 참조]

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:31,经济
"이제 1통만, 소방공무원 채용후보자 등록 제출서류 간소화‥올해부터 적용",보도자료,공공질서 및 안전 > 안전관리,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",소방청,2025-02-17,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001141070?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            '제출서류,？이제？1통만 준비하세요!'   소방공무원 채용후보자 등록 제출서류 간소화    - 소방청,？불필요한 행정절차 개선으로 적극행정 및 규제완화 앞장 -？채용후보자 등록 제출서류 각？2통？→？1통,？증명사진？5장？→？3장으로  - 올해 채용 앞둔 소방공무원부터 적용…？불편 줄어들 것으로 기대  올해부터 소방공무원 채용후보자 등록 제출서류가 간소화된다. 소방청(청장 허석곤)은？불필요한 행정절차 개선의 일환으로？소방공무원 채용후보자 등록서류 제출 간소화를 위해？「소방공무원 임용령 시행규칙」？개정을 추진하였으며,？올해부터 시행된다고 밝혔다. 종전「소방공무원 임용령 시행규칙」제29조 및 제31조는 소방공무원 채용후보자 등록 시 제출해야 하는 서류를 각？2통씩 제출하도록 규정하고 있다. 하지만 기관 내부적으로 필요한 경우,？행정기관에서 사본 생성이 가능하므로？제출서류를？2통씩 제출하도록 하는 것은 불필요한 행정이라는 지적이 있었고,？이에？소방청은 현장 의견을 수렴하여 관련 법령 개정 절차에 착수했다.  현 행개 정 안‣채용후보자등록 제출서류①？최종학력증명서？2통②？자격증 사본？2통③？경력증명서？2통④？채용신체검사서？2통⑤？신원진술서？3통⑥？사진？5장‣채용후보자등록 제출서류①？최종학력증명서？1통②？자격증 사본？1통③？경력증명서？1통④？채용신체검사서？1통⑤？신원진술서？2통？「보안업무규정」？제36조에 따라 신원조사가 필요한 경우에 한함⑥？사진？3장  개정 사항은？올해 채용을 앞둔 소방공무원부터 적용될 예정이며,？불필요한 제출서류 간소화로？채용후보자들의 불편이 줄어들 것으로 기대된다. 진형민 소방청 혁신행정법무담당관은？""이번에 개선된 등록 제출서류 간소화는 채용후보자는 물론,？시도 소방본부의 의견을 적극 수렴한 결과""라며？""앞으로도 적극행정을 통해 지속적으로 현장 의견을 청취하고,？시대변화를 반영하여 기존의 불합리한 규제들을 발굴하고 개선하기 위해 노력하겠다""고 전했다. ？ 담당 부서소방청책임자과 장진형민(044-205-7240)？혁신행정법무담당관담당자소방위김보희(044-205-7251) 

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:34,经济
"경찰청, 인터폴 국장 회의에서 인공지능 조작영상(딥페이크) 성범죄 대응 선도",보도자료,공공질서 및 안전 > 경찰,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",경찰청,2025-02-13,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001140417?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                        
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            경찰청, 인터폴 국장 회의에서 인공지능 조작영상(딥페이크) 성범죄 대응 선도 관련 보도자료 내용입니다.

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:37,经济
물류창고 및 판매시설 안전관리 강화…전국 600개소 동시 일제조사 실시,보도자료,공공질서 및 안전 > 안전관리,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",소방청,2025-02-13,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001140411?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            물류창고 및 판매시설 안전 관리 강화    전국？600여 개소 동시 일제 조사    -？전국 소방기관 동일 시간대 물류창고 및 판매시설 불법행위 일제 조사 실시 -？소방시설 정지,？피난·방화시설 폐쇄 등 불법행위 적발 시？무관용 원칙 적용  -？자율 안전관리문화 정착을 위한 경영자,？소방안전관리자 교육 병행  소방청(청장 허석곤)은 화재가 빈번하게 발생하는 겨울철？물류창고 및 판매시설에 대한 안전 관리를 강화하기 위해？「소방시설 및 피난·방화시설？불법행위 근절을 위한？전국 소방관서 일제 조사」를 실시한다고 밝혔다. 전국 소방기관은 화재 발생 시 급격한 연소 확대 및 대형 인명피해가 우려되는？물류창고？및？판매시설에 대해？인명피해 위험 요인 사전 제거？및？소방시설 등 조사를 통해 안전 관리를 강화한다. 이번 조사는？13일(목)？오후 사전 예고 없이 진행되며,？？수직으로 가연물을 적재하는 랙식 창고,？？각각 사용승인을 받은 대상물로？2개동 이상을 하나의 동처럼 사용 중인 판매시설,？？다양한 시설이 입점한 판매시설 중 소방안전관리 업무 대행 중인 대상 등？600여 개소를 대상으로？전국 시도 소방본부와 소방서에서 동일 시간대 일제 조사를 추진한다. 중점 확인 사항은？▲소방시설？전원차단·연동정지？여부？▲피난․방화시설 폐쇄․훼손？및 계단통로 등？피난대피로 확보？여부 등이다. 조사？결과,？화재 시 인명피해와 직결되는？불법행위 적발 시에는 입건,？과태료 등 무관용 원칙을 적용해 불법 사항의 근원적 차단에 나설 방침이다. 아울러？경영자,？안전관리자 등 관계자에게？자율 안전관리체계 정착을 위한 소방정책 방향 등을 공유하고？올바른 소방시설 유지·관리 방법 등 교육도 병행한다고 밝혔다. 홍영근 소방청 화재예방국장은？""대형 물류창고 및 판매시설에서 화재가？발생할 경우 대형 인명 및 재산피해로 이어질 위험이 높기 때문에 시도 또는？필요시 전국 단위로？동일 시간대 불법행위 일제 조사를？연중 정기적으로 추진할 예정""이라며, ""향후 모든 소방대상물에 대하여？자율 안전관리문화 정착을 위한 지속적인 점검과 지도·교육을 병행하여 관계인의 안전의식 향상을 위해 노력하겠다""고 밝혔다.  담당 부서소방청책임자소방령박홍수(044-205-7452)？화재예방총괄과담당자소방경강선욱(044-205-7453)  ？  

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:41,经济
법무부 보호기관 공무원 인사,보도자료,공공질서 및 안전 > 법무 및 검찰,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",법무부,2025-02-13,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001140280?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            법무부 보호기관 공무원 인사□법무부는 보호기관 공무원 인사를 아래와 같이 시행함.  ○ 승진 : 4명(고위공무원 1명, 부이사관 3명)  ○ 전보 : 4명(부이사관 3명, 서기관 1명)  ○ 인사 일정 : 2025. 2. 17.(월) <※상세내용 첨부파일 참조>

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:46,经济
"겨울철 수난사고 연평균 1,440여 건...얼음깨짐 주의 당부",보도자료,공공질서 및 안전 > 안전관리,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",소방청,2025-02-13,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001140281?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            겨울철(12월~2월)？수난사고 연평균？1,440건   얼음깨짐 등 안전수칙 준수 당부    -？최근？3년간 겨울철(12월~2월)？수난사고 연평균？1,440건 -？얼음낚시 중 얼음깨짐 등？3년간 구조인원？1,372명…사망？156명  -？소방청？""저체온증 등 각별히 주의,？구명조끼 반드시 착용해야""  지난달？14일 대구의 한 저수지 빙판 위에서 또래들과 놀던 중학생？1명이 얼음이 깨지면서 물에 빠진 친구들을 구하려다가 숨지는 사고가 발생했다. 2023년？2월 인천 서구에서는 얼음낚시 중 주변 얼음이 깨져 하천 중간에 고립되는 사고가 있었다.？이처럼？1~2월 중 강이나 저수지의 얼음이 깨지면서 물에 빠지는 경우가 종종 발생하고 있다. 소방청(청장 허석곤)은 기습한파 이후 기온이 풀리는 요즘 같은 시기 특히 위험할 수 있다며？얼음깨짐 등 수난사고를 주의해달라고 당부했다. 전국 구조활동 통계자료에 따르면？최근？3년간(2021.12.~ 2024.2.)？겨울철 수난사고 구조활동을 분석한 결과？구조건수는 총？4,321건으로？연평균？1,440건에 달하는 것으로 나타났다. 구조인원은 총？1,372명,？사망자는？156명으로？연평균？52명이 겨울철 수난사고로 숨진 것으로 확인됐다. <？최근？3년간 겨울철 수난사고 구조활동 현황？>구분(겨울철/ 12월~2월)구조출동(건)구조인원(명)사망자수(명)2021.12.~2022.2.1,768535402022.12.~2023.2.1,535558702023.12.~2024.2.1,01827946평균1,44045752 겨울철 수난사고가 특히 위험한 이유는？낮은 기온과 찬 바람으로？수중 고립될 경우？다른 계절에 비해？저체온증으로 이어질 위험이 높고,？이 경우？최대 생존 가능한 시간이 단축될 수 있기 때문이다. 저체온증은？중심체온(심부체온)이？35℃？이하로 떨어진 상태를 말하며,？체온에 따라 경증,？중등도,？중증으로 나뉜다. <？저체온증 단계별 주요 증상？>①？32~35℃(경증):？피부가 창백,？입술이 청색,？판단력이 느려짐②？28~32℃(중등도):？온몸의 근육이 경직,？의식장애,？동공확장③？28℃？미만(중증):？심정지 또는 혈압이 떨어짐,？반사 능력 상실(출처:？질병관리청 국가건강정보포털) 이에 대비해？전국의 소방서는 해마다 겨울철 수난사고 대비 훈련을 통해 각종 수난 구조 장비를 활용하여 익수자의 의식 여부에 따른 구조 방법 등을 익힌다. 특히,？훈련은？▲익수자의 저체온증 대처 및 응급처치？▲로프를 활용한 수신호 등 위험 상황 대처요령？▲다양한 장비를 활용한 빙상 구조법？▲해빙기 익수 상황을 가정한 시나리오 훈련？등을 중점으로 실시한다. 김재운 소방청 구조과장은""해빙기에는 얼음이 두꺼워 보여도 금방 녹기 때문에 위험할 수 있으므로？출입이 통제된 얼음 낚시터나 저수지·연못 등에는 절대 들어가서는 안 되고,？날씨가 춥다고 해도 얼음 위에서 모닥불을 피우는 것은 삼가야？한다""며？""허가된 곳에서 여가활동을 즐기시더라도？구명조끼는 반드시 착용해야 한다""고 강조했다.   담당 부서소방청책임자과 장김재운(044-205-7610)？구조과담당자소방위김경세(044-205-7618) 

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:53,经济
제31기 소방간부후보생 선발 필기시험 합격자 64명 발표,보도자료,공공질서 및 안전 > 안전관리,"
									
									
									
					                                                    
                                    	                            
	                                    정책브리핑
                                        
                                            (KOREA.KR)
                                        
	                                
	                            ",소방청,2025-02-11,https://www.gov.kr/portal/gvrnPolicy/view/H2502000001139856?srchOrder=&pageIndex=1&policyType=G00301&streamYn=&blgCd=A00&slgCd=&srchBlgCd=A00&srchSlgCd=&srchOrgGroup=&srchOriginOrg=&srchPeriodOption=1years&srchStDtFmt=2024.02.21&srchEdDtFmt=2025.02.21&searchField=3&srchTxt=&srchTxt2=,"




					


                    
                    

                    
                    


                    
                    
                    
                    







                    


                     
						
                           	
                           	
                        	
                           	
                           	
                          	
                          	
                           	
                           	
                          	
						
                            소방청,？제31기 소방간부후보생 선발 필기시험 합격자 발표    -？필기시험？응시？705명 중？64명(9.07%)？합격…？평균 경쟁률？11？대？1 -？오는？19일 체력시험 및 종합적성검사,？면접시험은？26일~27일 예정  -？최종합격자？30명은 내달？11일 소방청·119고시 누리집？통해 발표  소방청(청장 허석곤)은？'제31기 소방간부후보생 선발 필기시험'합격자？64명을？119고시(119gosi.kr)를 통해？11일 발표했다. ※？소방간부후보생 선발시험:？매년 소방위 계급으로 필기-체력-종합적성검사-면접을 거쳐？30명(남？26,？여？4명)을 선발한다. 소방청이 발표한 필기시험 합격자 공고에 따르면 총？705명의 응시자 가운데？64명이 필기시험에 합격했으며,？합격선은？400점 만점 기준 인문사회계열의 경우 남성？388점,？여성？368점이었으며 자연계열은 남성？324점,？여성？244점으로 나타났다. 합격자 평균연령은？27.8세로 지난해(27.3세)보다 소폭 상승했다. 소방간부후보생 선발 필기시험은 한국사와 영어는 관련시험 성적으로 대체(검정제)되며,？이를 제외한？4과목(과목당 객관식？25문항, 5지선다)？총？100분간 시험이 진행되었다. 인문사회계열은 필수과목인 헌법,？행정법 외 행정학,？민법총칙,？형사소송법,？경제학,？소방학개론 중？2과목을 선택할 수 있고 자연계열은 필수과목인 헌법,？자연과학개론 외 화학개론,？물리학개론,？건축공학개론,？전기공학개론,？소방학개론 중？2과목을 선택할 수 있다. 필기시험 합격자를 대상으로 오는？2월？19일 체력시험과 종합적성검사가 시행되며 응시자들은 신분증,？필기도구 등을 지참해야 한다. 19일 오전에는 종합적성검사(성인지감수성 검사문항 포함),？오후에는 체력시험이 진행되며 특히 체력시험 시에는 금지약물 사용으로 인한 부정합격 사례를 방지하기 위해 응시자를 대상으로 소변 채취 등 무작위 도핑테스트를 실시한다.？도핑테스트 결과 양성반응이 나오면 합격을 취소하고 응시자격이 제한될 수 있다. 이후？면접시험은？2월？26일？~ 27일 시행되며 시험당일 사전조사서 작성 등을 통해？△？문제해결능력？△？의사소통능력？△？소방공무원으로서의 공직관？△？협업능력？△？침착성 및 책임감 등？5개 요소를 중점적으로 평가한다. 모든 시험단계를 통과한 최종합격자？30명은 다음달？3월？11일 소방청 누리집과？119고시(119gosi.kr)를 통해 발표될 예정이다.     담당 부서  소방청  책임자  과 장  한 선  (044-205-7280)    ？  교육훈련담당관  담당자  소방장  오준범  (044-205-7289)     

						
						
					


                    
                    

						
						
						
		                
                        
                        
                            
                                	원문보기
                            
                        
                        
					",2025-02-21 10:27:56,经济
